Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
3920.00,3510.00,2474.00,0.00,4120.00,0
3890.00,3516.00,2432.00,0.00,4159.00,0
3864.00,3464.00,2424.00,0.00,4199.00,0
3850.00,3450.00,2366.00,0.00,4237.00,0
3818.00,3500.00,2340.00,0.00,4277.00,0
3752.00,3532.00,2330.00,0.00,4317.00,0
3758.00,3540.00,2470.00,0.00,4356.00,0
3002.00,3532.00,2504.00,0.00,4396.00,0
3228.00,3588.00,2488.00,0.00,4435.00,0
3268.00,3562.00,1652.00,0.00,4475.00,0
3320.00,3502.00,1832.00,0.00,4515.00,0
3228.00,3542.00,1890.00,0.00,4554.00,0
3238.00,3598.00,1858.00,0.00,4594.00,0
3280.00,3654.00,1924.00,0.00,4633.00,0
3186.00,3612.00,1936.00,0.00,4673.00,0
3188.00,3546.00,1864.00,0.00,4713.00,0
3120.00,3540.00,1864.00,0.00,4752.00,0
3114.00,3526.00,1854.00,0.00,4791.00,0
3152.00,3506.00,1872.00,0.00,4830.00,0
3202.00,3512.00,1832.00,0.00,4870.00,0
3158.00,3522.00,1848.00,0.00,4910.00,0
3228.00,3548.00,1872.00,0.00,4949.00,0
3310.00,3540.00,1890.00,0.00,4989.00,0
3254.00,3548.00,1936.00,0.00,5028.00,0
3152.00,3566.00,1842.00,0.00,5068.00,0
3132.00,3548.00,1894.00,0.00,5107.00,0
3178.00,3540.00,1878.00,0.00,5147.00,0
3178.00,3494.00,1904.00,0.00,5187.00,0
3244.00,3486.00,1880.00,0.00,5226.00,0
3270.00,3454.00,1950.00,0.00,5266.00,0
3202.00,3510.00,1930.00,0.00,5305.00,0
3284.00,3490.00,1842.00,0.00,5344.00,0
3348.00,3500.00,1832.00,0.00,5384.00,0
3224.00,3512.00,1864.00,0.00,5423.00,0
3126.00,3530.00,1808.00,0.00,5463.00,0
2042.00,3546.00,1898.00,0.00,5502.00,0
2186.00,3618.00,2008.00,0.00,5542.00,0
2206.00,3556.00,1498.00,0.00,5582.00,0
2160.00,3566.00,1678.00,0.00,5621.00,0
2156.00,3582.00,1628.00,0.00,5661.00,0
2156.00,3612.00,1602.00,0.00,5700.00,0
2232.00,3710.00,1582.00,0.00,5740.00,0
2186.00,3736.00,1616.00,0.00,5780.00,0
2248.00,3648.00,1612.00,0.00,5819.00,0
2320.00,3638.00,1582.00,0.00,5858.00,0
2234.00,3608.00,1612.00,0.00,5897.00,0
2424.00,3576.00,1602.00,0.00,5937.00,0
2224.00,3598.00,1658.00,0.00,5977.00,0
2360.00,3526.00,1668.00,0.00,6016.00,0
2370.00,3598.00,1654.00,0.00,6056.00,0
2264.00,3584.00,1616.00,0.00,6095.00,0
2262.00,3540.00,1654.00,0.00,6135.00,0
2262.00,3566.00,1582.00,0.00,6175.00,0
2170.00,3608.00,1642.00,0.00,6214.00,0
2280.00,3710.00,1546.00,0.00,6254.00,0
2222.00,3640.00,1600.00,0.00,6293.00,0
2150.00,3556.00,1602.00,0.00,6333.00,0
2310.00,3502.00,1632.00,0.00,6372.00,0
2306.00,3454.00,1688.00,0.00,6411.00,0
2340.00,3562.00,1592.00,0.00,6451.00,0
2320.00,3556.00,1586.00,0.00,6490.00,0
7382.00,3578.00,1636.00,0.00,6530.00,0
5452.00,3572.00,1518.00,0.00,6569.00,0
5016.00,3578.00,5134.00,0.00,6609.00,0
4978.00,3414.00,3192.00,0.00,6649.00,0
4836.00,3260.00,2778.00,0.00,6688.00,0
5008.00,3218.00,2704.00,0.00,6728.00,0
5060.00,3218.00,2684.00,0.00,6767.00,0
5014.00,3228.00,2720.00,0.00,6807.00,0
5112.00,3198.00,2886.00,0.00,6847.00,0
5220.00,3848.00,2920.00,0.00,6886.00,0
5126.00,3690.00,2838.00,0.00,6925.00,0
5024.00,3620.00,2752.00,0.00,6964.00,0
4944.00,3604.00,2680.00,0.00,7004.00,0
4948.00,3548.00,2716.00,0.00,7044.00,0
5046.00,3540.00,2832.00,0.00,7083.00,0
5026.00,3506.00,2834.00,0.00,7123.00,0
5082.00,3540.00,2782.00,0.00,7162.00,0
5070.00,3530.00,2802.00,0.00,7202.00,0
4908.00,3634.00,2808.00,0.00,7242.00,0
4954.00,3650.00,2732.00,0.00,7281.00,0
4882.00,3598.00,2654.00,0.00,7321.00,0
4898.00,3526.00,2710.00,0.00,7360.00,0
4816.00,3516.00,2838.00,0.00,7400.00,0
4898.00,3582.00,2874.00,0.00,7440.00,0
5106.00,3598.00,2760.00,0.00,7478.00,0
5154.00,3540.00,2736.00,0.00,7518.00,0
5092.00,3552.00,2648.00,0.00,7557.00,0
5024.00,3532.00,2730.00,0.00,7597.00,0
3188.00,3572.00,2812.00,0.00,7636.00,0
3520.00,3584.00,2950.00,0.00,7676.00,0
3552.00,3584.00,948.00,0.00,7715.00,0
3670.00,3572.00,1572.00,0.00,7754.00,0
3664.00,3644.00,1690.00,0.00,7794.00,0
3874.00,3732.00,1648.00,0.00,7833.00,0
3758.00,3768.00,1616.00,0.00,7873.00,0
3706.00,3810.00,1700.00,0.00,7913.00,0
3700.00,3838.00,1652.00,0.00,7952.00,0
3638.00,3486.00,1678.00,0.00,7991.00,0
3706.00,3476.00,1652.00,0.00,8030.00,0
3680.00,3500.00,1644.00,0.00,8070.00,0
3694.00,3438.00,1724.00,0.00,8110.00,0
3784.00,3470.00,1652.00,0.00,8149.00,0
3792.00,3440.00,1662.00,0.00,8189.00,0
3730.00,3470.00,1662.00,0.00,8228.00,0
3844.00,3530.00,1652.00,0.00,8268.00,0
3866.00,3556.00,1648.00,0.00,8308.00,0
3838.00,3546.00,1708.00,0.00,8347.00,0
3866.00,3506.00,1674.00,0.00,8387.00,0
3768.00,3448.00,1654.00,0.00,8426.00,0
3798.00,3440.00,1662.00,0.00,8466.00,0
3804.00,3440.00,1672.00,0.00,8506.00,0
3774.00,3470.00,1668.00,0.00,8544.00,0
3874.00,3494.00,1644.00,0.00,8584.00,0
3978.00,3552.00,1644.00,0.00,8623.00,0
3896.00,3558.00,1708.00,0.00,8663.00,0
3820.00,3470.00,1678.00,0.00,8703.00,0
3218.00,3434.00,1672.00,0.00,8742.00,0
3182.00,3384.00,2982.00,0.00,8782.00,0
3176.00,3384.00,2526.00,0.00,8821.00,0
3060.00,3378.00,2542.00,0.00,8861.00,0
3060.00,3372.00,2674.00,0.00,8900.00,0
3080.00,3368.00,2732.00,0.00,8940.00,0
3150.00,3362.00,2746.00,0.00,8980.00,0
3336.00,3388.00,2726.00,0.00,9019.00,0
3204.00,3414.00,2726.00,0.00,9058.00,0
3260.00,3402.00,2740.00,0.00,9097.00,0
3214.00,3376.00,2766.00,0.00,9137.00,0
3202.00,3358.00,2756.00,0.00,9177.00,0
3182.00,3480.00,2756.00,0.00,9216.00,0
3114.00,3418.00,2726.00,0.00,9256.00,0
3156.00,3450.00,2648.00,0.00,9295.00,0
3192.00,3512.00,2660.00,0.00,9335.00,0
3130.00,3438.00,2726.00,0.00,9375.00,0
3260.00,3412.00,2776.00,0.00,9414.00,0
3248.00,3418.00,2786.00,0.00,9454.00,0
3158.00,3428.00,2772.00,0.00,9493.00,0
3214.00,3414.00,2706.00,0.00,9533.00,0
3228.00,3398.00,2732.00,0.00,9573.00,0
3162.00,3412.00,2760.00,0.00,9611.00,0
3084.00,3484.00,2732.00,0.00,9651.00,0
3090.00,3394.00,2756.00,0.00,9690.00,0
3090.00,3486.00,2776.00,0.00,9730.00,0
3076.00,3394.00,2740.00,0.00,9770.00,0
5004.00,3372.00,2714.00,0.00,9809.00,0
4138.00,3366.00,3280.00,0.00,9849.00,0
4034.00,3352.00,2878.00,0.00,9888.00,0
4050.00,3450.00,2868.00,0.00,9928.00,0
4044.00,3408.00,2886.00,0.00,9968.00,0
4030.00,3392.00,2894.00,0.00,10007.00,0
3928.00,3422.00,2834.00,0.00,10048.00,0
3956.00,3394.00,2824.00,0.00,10088.00,0
4030.00,3412.00,2844.00,0.00,10129.00,0
4064.00,2362.00,2796.00,0.00,10170.00,0
4168.00,2730.00,2916.00,0.00,10209.00,0
4172.00,2910.00,2988.00,0.00,10250.00,0
4220.00,2870.00,3022.00,0.00,10290.00,0
4228.00,2900.00,3014.00,0.00,10331.00,0
4056.00,2870.00,3028.00,0.00,10372.00,0
4060.00,2904.00,3008.00,0.00,10412.00,0
4076.00,2870.00,2976.00,0.00,10453.00,0
4120.00,2844.00,3038.00,0.00,10493.00,0
4256.00,2822.00,3028.00,0.00,10534.00,0
4306.00,2824.00,2886.00,0.00,10575.00,0
4220.00,2860.00,2956.00,0.00,10615.00,0
