Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
2968.00,3500.00,3512.00,0.00,4154.00,0
2832.00,3614.00,3312.00,0.00,4194.00,0
1304.00,3340.00,3304.00,0.00,4234.00,0
698.00,3650.00,4008.00,0.00,4272.00,0
1210.00,3614.00,4414.00,0.00,4312.00,0
1308.00,3454.00,26.00,0.00,4349.00,0
1380.00,3984.00,970.00,0.00,4388.00,0
1354.00,5748.00,1042.00,0.00,4427.00,0
1400.00,5850.00,1072.00,0.00,4467.00,0
1410.00,6338.00,1078.00,0.00,4507.00,0
1524.00,6458.00,1048.00,0.00,4546.00,0
1836.00,5728.00,1074.00,0.00,4586.00,0
1490.00,6556.00,1092.00,0.00,4624.00,0
1468.00,6784.00,1058.00,0.00,4664.00,0
1484.00,6098.00,1144.00,0.00,4704.00,0
1590.00,52.00,1098.00,0.00,4741.00,0
1564.00,992.00,1140.00,0.00,4780.00,0
1618.00,1138.00,1120.00,0.00,4819.00,0
1590.00,1128.00,1150.00,0.00,4859.00,0
1730.00,1124.00,1118.00,0.00,4898.00,0
1678.00,1156.00,1128.00,0.00,4938.00,0
1652.00,1228.00,1130.00,0.00,4978.00,0
1720.00,1154.00,1064.00,0.00,5017.00,0
1688.00,1170.00,1102.00,0.00,5057.00,0
1714.00,1160.00,1110.00,0.00,5095.00,0
1678.00,1134.00,1102.00,0.00,5135.00,0
1766.00,1170.00,1098.00,0.00,5175.00,0
1730.00,1134.00,1140.00,0.00,5214.00,0
1642.00,1154.00,1042.00,0.00,5254.00,0
9794.00,1170.00,1110.00,0.00,5293.00,0
6620.00,1180.00,1128.00,0.00,5333.00,0
7056.00,1298.00,1236.00,0.00,5373.00,0
6836.00,1256.00,7346.00,0.00,5412.00,0
6128.00,1246.00,5496.00,0.00,5452.00,0
5580.00,1138.00,5030.00,0.00,5491.00,0
5390.00,1140.00,5016.00,0.00,5531.00,0
5132.00,1088.00,5092.00,0.00,5571.00,0
5162.00,1092.00,4890.00,0.00,5610.00,0
4400.00,1104.00,4906.00,0.00,5649.00,0
5036.00,970.00,4886.00,0.00,5687.00,0
5102.00,1038.00,4942.00,0.00,5727.00,0
5056.00,1072.00,4762.00,0.00,5767.00,0
3902.00,7092.00,4184.00,0.00,5806.00,0
3594.00,4086.00,3680.00,0.00,5846.00,0
3346.00,3438.00,3742.00,0.00,5885.00,0
26.00,3084.00,3768.00,0.00,5923.00,0
832.00,3476.00,4326.00,0.00,5961.00,0
1026.00,3402.00,4624.00,0.00,6001.00,0
1120.00,3694.00,368.00,0.00,6040.00,0
1104.00,3848.00,1068.00,0.00,6079.00,0
1202.00,5118.00,1078.00,0.00,6118.00,0
1206.00,5724.00,1114.00,0.00,6157.00,0
1180.00,5282.00,1082.00,0.00,6197.00,0
1192.00,5800.00,1074.00,0.00,6237.00,0
1166.00,5842.00,1064.00,0.00,6276.00,0
1212.00,928.00,1144.00,0.00,6315.00,0
1228.00,1278.00,1164.00,0.00,6354.00,0
1238.00,1364.00,1156.00,0.00,6394.00,0
1222.00,1328.00,1182.00,0.00,6434.00,0
1238.00,1386.00,1094.00,0.00,6473.00,0
1232.00,1328.00,1128.00,0.00,6513.00,0
1222.00,1282.00,1098.00,0.00,6552.00,0
1226.00,1344.00,1082.00,0.00,6592.00,0
1212.00,1314.00,1120.00,0.00,6631.00,0
1252.00,1328.00,1134.00,0.00,6670.00,0
1236.00,1344.00,1120.00,0.00,6710.00,0
1238.00,1410.00,1120.00,0.00,6749.00,0
1252.00,1288.00,1110.00,0.00,6789.00,0
1262.00,1392.00,1156.00,0.00,6828.00,0
1268.00,1370.00,1166.00,0.00,6868.00,0
1258.00,1360.00,1174.00,0.00,6908.00,0
1262.00,1364.00,1176.00,0.00,6947.00,0
6990.00,1374.00,1138.00,0.00,6987.00,0
5790.00,1410.00,1212.00,0.00,7026.00,0
6656.00,1364.00,11840.00,0.00,7067.00,0
6764.00,1380.00,5990.00,0.00,7107.00,0
5932.00,1364.00,4584.00,0.00,7146.00,0
5728.00,1216.00,4578.00,0.00,7185.00,0
5052.00,1248.00,4752.00,0.00,7224.00,0
5322.00,1130.00,4712.00,0.00,7264.00,0
5354.00,1164.00,4754.00,0.00,7304.00,0
5242.00,11344.00,4554.00,0.00,7344.00,0
4554.00,5686.00,3674.00,0.00,7384.00,0
1582.00,4224.00,3502.00,0.00,7423.00,0
478.00,3588.00,3648.00,0.00,7462.00,0
956.00,3706.00,4092.00,0.00,7501.00,0
1062.00,3802.00,4138.00,0.00,7540.00,0
1064.00,2834.00,3768.00,0.00,7580.00,0
1028.00,4476.00,3476.00,0.00,7619.00,0
1072.00,4410.00,3676.00,0.00,7659.00,0
1108.00,3556.00,3484.00,0.00,7698.00,0
1056.00,4784.00,3680.00,0.00,7737.00,0
1084.00,4312.00,3458.00,0.00,7777.00,0
1062.00,3958.00,3398.00,0.00,7816.00,0
1110.00,3850.00,98.00,0.00,7854.00,0
1128.00,4040.00,1094.00,0.00,7893.00,0
1156.00,5040.00,1364.00,0.00,7933.00,0
1114.00,400.00,1428.00,0.00,7972.00,0
1150.00,1104.00,1468.00,0.00,8011.00,0
1150.00,1256.00,1500.00,0.00,8051.00,0
1120.00,1310.00,1490.00,0.00,8090.00,0
1130.00,1272.00,1490.00,0.00,8130.00,0
1166.00,1242.00,1518.00,0.00,8170.00,0
1134.00,1166.00,1508.00,0.00,8208.00,0
1160.00,1196.00,1462.00,0.00,8248.00,0
1130.00,1176.00,1546.00,0.00,8287.00,0
1108.00,1182.00,1490.00,0.00,8327.00,0
1176.00,1154.00,1534.00,0.00,8367.00,0
1180.00,1218.00,1454.00,0.00,8406.00,0
1190.00,1182.00,1482.00,0.00,8446.00,0
9244.00,1192.00,1468.00,0.00,8485.00,0
5112.00,1128.00,1464.00,0.00,8525.00,0
4296.00,1196.00,1488.00,0.00,8565.00,0
4512.00,1176.00,1374.00,0.00,8604.00,0
7494.00,1364.00,1282.00,0.00,8644.00,0
7654.00,1504.00,1304.00,0.00,8683.00,0
7904.00,1592.00,1370.00,0.00,8722.00,0
7714.00,1608.00,1328.00,0.00,8762.00,0
7776.00,1582.00,1216.00,0.00,8801.00,0
7736.00,1642.00,1328.00,0.00,8841.00,0
7848.00,1544.00,1360.00,0.00,8880.00,0
7636.00,1596.00,5784.00,0.00,8920.00,0
7626.00,1580.00,4758.00,0.00,8960.00,0
7606.00,14342.00,4892.00,0.00,9000.00,0
8110.00,8720.00,4152.00,0.00,9040.00,0
8142.00,8120.00,3844.00,0.00,9079.00,0
8468.00,8080.00,3938.00,0.00,9119.00,0
8632.00,6702.00,4060.00,0.00,9158.00,0
5842.00,4820.00,3706.00,0.00,9198.00,0
20.00,4368.00,3536.00,0.00,9236.00,0
928.00,3748.00,3470.00,0.00,9273.00,0
1170.00,3634.00,3584.00,0.00,9313.00,0
1218.00,3566.00,3742.00,0.00,9352.00,0
1308.00,3696.00,3784.00,0.00,9392.00,0
1324.00,3540.00,3774.00,0.00,9432.00,0
1268.00,3736.00,750.00,0.00,9470.00,0
1238.00,4010.00,966.00,0.00,9509.00,0
1212.00,4544.00,1684.00,0.00,9548.00,0
1292.00,5302.00,1730.00,0.00,9588.00,0
1246.00,6236.00,1734.00,0.00,9628.00,0
1210.00,5560.00,1798.00,0.00,9667.00,0
1146.00,6652.00,1770.00,0.00,9707.00,0
1252.00,5650.00,1780.00,0.00,9745.00,0
1212.00,5940.00,1724.00,0.00,9785.00,0
1202.00,134.00,1806.00,0.00,9823.00,0
1186.00,1038.00,1854.00,0.00,9863.00,0
1324.00,1264.00,1908.00,0.00,9903.00,0
1308.00,1216.00,1910.00,0.00,9942.00,0
1248.00,1300.00,1916.00,0.00,9982.00,0
1294.00,1328.00,1884.00,0.00,10021.00,0
1268.00,1278.00,1900.00,0.00,10062.00,0
1320.00,1216.00,1894.00,0.00,10103.00,0
1318.00,1200.00,1982.00,0.00,10143.00,0
1274.00,1228.00,1940.00,0.00,10184.00,0
1336.00,1242.00,1940.00,0.00,10225.00,0
1310.00,1206.00,1956.00,0.00,10265.00,0
6970.00,1238.00,1894.00,0.00,10306.00,0
4958.00,1274.00,1740.00,0.00,10346.00,0
7936.00,1350.00,1704.00,0.00,10386.00,0
8088.00,1484.00,1674.00,0.00,10427.00,0
8090.00,1566.00,1806.00,0.00,10467.00,0
8136.00,1600.00,1744.00,0.00,10508.00,0
7988.00,1582.00,6792.00,0.00,10548.00,0
7976.00,1436.00,5378.00,0.00,10589.00,0
7950.00,1518.00,5532.00,0.00,10630.00,0
7862.00,1534.00,5662.00,0.00,10670.00,0
7916.00,1564.00,5434.00,0.00,10711.00,0
7874.00,1504.00,5324.00,0.00,10751.00,0
7868.00,1570.00,5194.00,0.00,10792.00,0
7936.00,1510.00,5250.00,0.00,10833.00,0
7838.00,11010.00,5112.00,0.00,10874.00,0
204.00,7422.00,4788.00,0.00,10914.00,0
1360.00,7002.00,4690.00,0.00,10954.00,0
1572.00,6574.00,4536.00,0.00,10995.00,0
1652.00,6494.00,4374.00,0.00,11036.00,0
1682.00,6380.00,4214.00,0.00,11076.00,0
1654.00,6462.00,4128.00,0.00,11117.00,0
1638.00,6312.00,498.00,0.00,11157.00,0
1694.00,6524.00,1218.00,0.00,11196.00,0
1320.00,4562.00,1374.00,0.00,11237.00,0
1140.00,4804.00,1364.00,0.00,11277.00,0
1140.00,5668.00,1364.00,0.00,11318.00,0
1124.00,5234.00,1364.00,0.00,11359.00,0
1098.00,5774.00,1366.00,0.00,11399.00,0
1128.00,6068.00,1406.00,0.00,11440.00,0
1108.00,5902.00,1366.00,0.00,11480.00,0
1144.00,678.00,1402.00,0.00,11520.00,0
1226.00,1428.00,1386.00,0.00,11561.00,0
1196.00,1436.00,1402.00,0.00,11601.00,0
1130.00,1422.00,1376.00,0.00,11642.00,0
1206.00,1482.00,1428.00,0.00,11682.00,0
1146.00,1488.00,1454.00,0.00,11723.00,0
1202.00,1432.00,1436.00,0.00,11764.00,0
1182.00,1428.00,1406.00,0.00,11804.00,0
1164.00,1482.00,1402.00,0.00,11845.00,0
1192.00,1494.00,1400.00,0.00,11885.00,0
