Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
6230.00,4138.00,9712.00,0.00,4767.00,0
6122.00,4128.00,2352.00,0.00,4807.00,0
6062.00,4070.00,3054.00,0.00,4847.00,0
6094.00,4074.00,3248.00,0.00,4886.00,0
6032.00,4002.00,3208.00,0.00,4926.00,0
6078.00,5698.00,3222.00,0.00,4965.00,0
6040.00,5044.00,3268.00,0.00,5004.00,0
6088.00,4754.00,3244.00,0.00,5044.00,0
6032.00,4584.00,3310.00,0.00,5083.00,0
6016.00,4738.00,3268.00,0.00,5123.00,0
5940.00,4856.00,3274.00,0.00,5162.00,0
6010.00,4846.00,3294.00,0.00,5202.00,0
5924.00,4736.00,3260.00,0.00,5241.00,0
5968.00,4768.00,3268.00,0.00,5281.00,0
6030.00,4808.00,3320.00,0.00,5321.00,0
5990.00,4748.00,3260.00,0.00,5360.00,0
5990.00,4816.00,3274.00,0.00,5400.00,0
5984.00,4764.00,3304.00,0.00,5439.00,0
5958.00,4830.00,3310.00,0.00,5479.00,0
5996.00,4774.00,3322.00,0.00,5518.00,0
5974.00,4676.00,3312.00,0.00,5557.00,0
5994.00,4844.00,3316.00,0.00,5597.00,0
5960.00,4722.00,3276.00,0.00,5636.00,0
5938.00,4754.00,3286.00,0.00,5676.00,0
5980.00,4758.00,3330.00,0.00,5716.00,0
5950.00,4722.00,3296.00,0.00,5755.00,0
5950.00,4610.00,3322.00,0.00,5795.00,0
5996.00,4712.00,3320.00,0.00,5834.00,0
4990.00,4788.00,5354.00,0.00,5874.00,0
5070.00,4804.00,5144.00,0.00,5914.00,0
5164.00,4738.00,5086.00,0.00,5953.00,0
5102.00,4824.00,5092.00,0.00,5993.00,0
5162.00,4918.00,5052.00,0.00,6032.00,0
5134.00,4598.00,5052.00,0.00,6071.00,0
5134.00,4762.00,5086.00,0.00,6111.00,0
5142.00,4722.00,5036.00,0.00,6150.00,0
5070.00,4728.00,5046.00,0.00,6190.00,0
5138.00,4798.00,5072.00,0.00,6229.00,0
5154.00,4672.00,5056.00,0.00,6269.00,0
5152.00,4758.00,5044.00,0.00,6309.00,0
5086.00,4742.00,5050.00,0.00,6348.00,0
5174.00,4672.00,5070.00,0.00,6388.00,0
5088.00,4654.00,5056.00,0.00,6427.00,0
5168.00,4728.00,5030.00,0.00,6467.00,0
5142.00,4670.00,5076.00,0.00,6506.00,0
5086.00,4726.00,5036.00,0.00,6546.00,0
5152.00,4646.00,5036.00,0.00,6586.00,0
5102.00,4716.00,5034.00,0.00,6624.00,0
5086.00,4772.00,5056.00,0.00,6664.00,0
5098.00,4662.00,5062.00,0.00,6703.00,0
5098.00,4742.00,5050.00,0.00,6743.00,0
5116.00,4654.00,5072.00,0.00,6783.00,0
5128.00,4700.00,5046.00,0.00,6822.00,0
5168.00,4660.00,5036.00,0.00,6862.00,0
6594.00,4680.00,5000.00,0.00,6901.00,0
6114.00,4594.00,8488.00,0.00,6941.00,0
6040.00,4646.00,8208.00,0.00,6981.00,0
6036.00,4574.00,8094.00,0.00,7020.00,0
5974.00,4506.00,8016.00,0.00,7060.00,0
5932.00,4508.00,8090.00,0.00,7099.00,0
5960.00,3876.00,8048.00,0.00,7138.00,0
5928.00,4070.00,8048.00,0.00,7178.00,0
5892.00,4172.00,8028.00,0.00,7217.00,0
5928.00,4156.00,8048.00,0.00,7257.00,0
5932.00,4076.00,8026.00,0.00,7296.00,0
5990.00,4172.00,8006.00,0.00,7336.00,0
6004.00,4110.00,7936.00,0.00,7376.00,0
5914.00,4100.00,8028.00,0.00,7415.00,0
5934.00,4082.00,7980.00,0.00,7455.00,0
5932.00,4128.00,7956.00,0.00,7494.00,0
5984.00,4162.00,7996.00,0.00,7534.00,0
5986.00,4128.00,7982.00,0.00,7574.00,0
5980.00,4064.00,7956.00,0.00,7613.00,0
5908.00,4102.00,7916.00,0.00,7653.00,0
5922.00,4064.00,7920.00,0.00,7691.00,0
5896.00,4168.00,7924.00,0.00,7731.00,0
5970.00,4030.00,7944.00,0.00,7770.00,0
5908.00,4136.00,7930.00,0.00,7810.00,0
5970.00,4112.00,7888.00,0.00,7850.00,0
5968.00,4100.00,7940.00,0.00,7889.00,0
5878.00,4080.00,7910.00,0.00,7929.00,0
5960.00,4050.00,7914.00,0.00,7968.00,0
4328.00,4080.00,7202.00,0.00,8008.00,0
4646.00,4100.00,7328.00,0.00,8048.00,0
4728.00,4182.00,7360.00,0.00,8087.00,0
4752.00,4102.00,7360.00,0.00,8127.00,0
4726.00,4184.00,7380.00,0.00,8166.00,0
4708.00,4228.00,7364.00,0.00,8205.00,0
4712.00,4626.00,7318.00,0.00,8245.00,0
4762.00,4528.00,7330.00,0.00,8284.00,0
4744.00,4466.00,7318.00,0.00,8324.00,0
4748.00,4526.00,7328.00,0.00,8363.00,0
4788.00,4408.00,7328.00,0.00,8403.00,0
4758.00,4428.00,7324.00,0.00,8443.00,0
4778.00,4526.00,7318.00,0.00,8482.00,0
4762.00,4512.00,7304.00,0.00,8522.00,0
4752.00,4500.00,7268.00,0.00,8561.00,0
4728.00,4414.00,7324.00,0.00,8601.00,0
4712.00,4444.00,7328.00,0.00,8641.00,0
4744.00,4414.00,7278.00,0.00,8680.00,0
4732.00,4536.00,7268.00,0.00,8720.00,0
4752.00,4364.00,7300.00,0.00,8758.00,0
4762.00,4502.00,7298.00,0.00,8798.00,0
4784.00,4538.00,7294.00,0.00,8838.00,0
4778.00,4472.00,7298.00,0.00,8877.00,0
4718.00,4528.00,7274.00,0.00,8917.00,0
4772.00,4434.00,7284.00,0.00,8956.00,0
4764.00,4480.00,7278.00,0.00,8996.00,0
4716.00,4414.00,7298.00,0.00,9035.00,0
6666.00,4430.00,5020.00,0.00,9075.00,0
6340.00,4434.00,5364.00,0.00,9115.00,0
6194.00,4374.00,5414.00,0.00,9154.00,0
6170.00,4428.00,5430.00,0.00,9194.00,0
6138.00,4270.00,5488.00,0.00,9233.00,0
6164.00,4102.00,5460.00,0.00,9272.00,0
6230.00,4220.00,5430.00,0.00,9312.00,0
6184.00,4240.00,5482.00,0.00,9351.00,0
6236.00,4146.00,5472.00,0.00,9391.00,0
6210.00,4208.00,5446.00,0.00,9430.00,0
6210.00,4194.00,5460.00,0.00,9470.00,0
6196.00,4218.00,5502.00,0.00,9510.00,0
6262.00,4194.00,5450.00,0.00,9549.00,0
6150.00,4182.00,5486.00,0.00,9589.00,0
6200.00,4188.00,5466.00,0.00,9628.00,0
6252.00,4240.00,5492.00,0.00,9668.00,0
6256.00,4200.00,5460.00,0.00,9708.00,0
6222.00,4148.00,5502.00,0.00,9747.00,0
6246.00,4210.00,5460.00,0.00,9787.00,0
6176.00,4200.00,5462.00,0.00,9825.00,0
6158.00,4162.00,5476.00,0.00,9865.00,0
6124.00,4174.00,5486.00,0.00,9905.00,0
6240.00,4168.00,5466.00,0.00,9944.00,0
6148.00,4200.00,5426.00,0.00,9984.00,0
6148.00,4142.00,5472.00,0.00,10023.00,0
6176.00,4266.00,5456.00,0.00,10064.00,0
6128.00,4128.00,5478.00,0.00,10105.00,0
2706.00,4208.00,5470.00,0.00,10145.00,0
3710.00,4322.00,10640.00,0.00,10187.00,0
3992.00,4328.00,10034.00,0.00,10228.00,0
4076.00,4436.00,9994.00,0.00,10269.00,0
4096.00,4414.00,10004.00,0.00,10311.00,0
4050.00,4420.00,9922.00,0.00,10351.00,0
4054.00,9204.00,9926.00,0.00,10392.00,0
3982.00,8598.00,9844.00,0.00,10432.00,0
4008.00,8340.00,9880.00,0.00,10473.00,0
4008.00,8176.00,9838.00,0.00,10514.00,0
3994.00,8106.00,9804.00,0.00,10554.00,0
3694.00,7828.00,9222.00,0.00,10594.00,0
3638.00,7908.00,8972.00,0.00,10635.00,0
3418.00,8188.00,8942.00,0.00,10675.00,0
3258.00,7874.00,8642.00,0.00,10716.00,0
3194.00,8008.00,8562.00,0.00,10756.00,0
3084.00,7884.00,8562.00,0.00,10797.00,0
3038.00,8002.00,8578.00,0.00,10838.00,0
3064.00,7916.00,8576.00,0.00,10878.00,0
3094.00,7924.00,8566.00,0.00,10919.00,0
3106.00,7982.00,8432.00,0.00,10959.00,0
3106.00,8032.00,8488.00,0.00,11000.00,0
3068.00,7934.00,8556.00,0.00,11041.00,0
3060.00,7980.00,8434.00,0.00,11081.00,0
3152.00,8068.00,8506.00,0.00,11122.00,0
3080.00,7944.00,8396.00,0.00,11162.00,0
3068.00,7982.00,8562.00,0.00,11203.00,0
5820.00,7654.00,8562.00,0.00,11244.00,0
5276.00,7432.00,1488.00,0.00,11284.00,0
5128.00,7396.00,2232.00,0.00,11325.00,0
5096.00,7478.00,2442.00,0.00,11365.00,0
5088.00,7392.00,2514.00,0.00,11405.00,0
5080.00,7514.00,2496.00,0.00,11446.00,0
4954.00,52.00,2438.00,0.00,11484.00,0
5056.00,1354.00,2424.00,0.00,11525.00,0
5672.00,1668.00,2434.00,0.00,11565.00,0
6140.00,1668.00,2448.00,0.00,11606.00,0
6004.00,1756.00,2432.00,0.00,11647.00,0
6140.00,1750.00,2422.00,0.00,11687.00,0
6102.00,1730.00,2422.00,0.00,11728.00,0
6150.00,1780.00,2442.00,0.00,11769.00,0
6088.00,1724.00,2468.00,0.00,11809.00,0
6144.00,1694.00,2442.00,0.00,11850.00,0
6050.00,1720.00,2408.00,0.00,11890.00,0
6128.00,1786.00,2470.00,0.00,11931.00,0
6114.00,1724.00,2500.00,0.00,11972.00,0
6102.00,1730.00,2494.00,0.00,12012.00,0
6052.00,1688.00,2490.00,0.00,12053.00,0
6114.00,1698.00,2496.00,0.00,12093.00,0
6086.00,1762.00,2452.00,0.00,12134.00,0
6088.00,1760.00,2490.00,0.00,12174.00,0
6160.00,1754.00,2442.00,0.00,12214.00,0
6158.00,1772.00,2418.00,0.00,12255.00,0
6066.00,1760.00,2442.00,0.00,12295.00,0
7642.00,1714.00,5790.00,0.00,12336.00,0
7494.00,1684.00,5144.00,0.00,12377.00,0
7438.00,1734.00,4980.00,0.00,12417.00,0
7452.00,1704.00,4988.00,0.00,12458.00,0
7376.00,1694.00,4934.00,0.00,12499.00,0
7300.00,4362.00,4922.00,0.00,12539.00,0
7058.00,3434.00,4934.00,0.00,12580.00,0
6888.00,3248.00,4916.00,0.00,12620.00,0
6884.00,3182.00,4994.00,0.00,12661.00,0
6908.00,3162.00,4990.00,0.00,12702.00,0
6760.00,3152.00,4988.00,0.00,12742.00,0
